id,description,amount,category,date,description_cleaned,date_normalized
42,Doctor visit,37.93,Health,12-23-2025,doctor visit,2025-12-23
43,NETFLIX.COM,155.86,Entertainment,05/01/2026,netflixcom,2026-01-05
44,NETFLIX.COM,85.79,Entertainment,2025-12-21,netflixcom,2025-12-21
45,Electcity bill,170.04,Utilities,2025-12-24,electricity bill,2025-12-24
46,Walmrt grocceries,121.68,Shopping,2026-01-15,walmart grocery,2026-01-15
47,amzn mktp,61.24,Shopping,09/01/2026,amazon mktp,2026-01-09
48,Mobile recharge,113.75,Utilities,2025-12-15,mobile recharge,2025-12-15
49,Target store,288.59,Shopping,12-01-2025,target store,2025-12-01
50,Hospital  bill,344.12,Health,2026-01-06,hospital bill,2026-01-06
51,Lunch at MCD,138.59,Food,31/12/2025,lunch at mcd,2025-12-31
52,Steam games,221.28,Entertainment,19/12/2025,steam games,2025-12-19
53,Spotify,206.57,Entertainment,"Dec 05, 2025",spotify,2025-12-05
54,strbucks cofee,63.64,Food,31/12/2025,starbucks coffee,2025-12-31
55,sttarbucks,471.99,Food,2026-01-09,starbucks,2026-01-09
56,Amzon prime sub,79.33,Shopping,"Dec 18, 2025",amazon prime sub,2025-12-18
57,electcity bill,51.35,Utilities,07/01/2026,electricity bill,2026-01-07
58,Cinema tickets,376.77,Entertainment,"Jan 06, 2026",cinema tickets,2026-01-06
59,Electcity bill,34.35,Utilities,04/12/2025,electricity bill,2025-12-04
60,Doctor visit,32.34,Health,15/01/2026,doctor visit,2026-01-15
61,Target store,470.08,Shopping,2025-12-28,target store,2025-12-28
62,Bus ticket,30.75,Transport,"Dec 15, 2025",bus ticket,2025-12-15
63,meds...,485.5,Health,2025-12-25,meds,2025-12-25
64,sttarbucks,427.24,Food,04/12/2025,starbucks,2025-12-04
65,Cinema tickets,78.15,Entertainment,12-24-2025,cinema tickets,2025-12-24
66,amzn  mktp,407.35,Shopping,06/12/2025,amazon mktp,2025-12-06
67,Train pass,484.01,Transport,"Jan 11, 2026",train pass,2026-01-11
68,uberrr,106.42,Transport,2026-01-13,uberrr,2026-01-13
69,UBER   123,253.98,Transport,"Jan 14, 2026",uber 123,2026-01-14
70,Coffee!!,52.09,Food,"Dec 22, 2025",coffee,2025-12-22
71,movie night,311.42,Entertainment,"Dec 06, 2025",movie night,2025-12-06
72,Gas station,323.79,Transport,"Dec 21, 2025",gas station,2025-12-21
73,amazon.com*123,359.9,Shopping,"Dec 12, 2025",amazoncom123,2025-12-12
74,Electcity bill,282.22,Utilities,31/12/2025,electricity bill,2025-12-31
75,doctor visit,332.26,Health,"Dec 26, 2025",doctor visit,2025-12-26
76,Petrol refill,291.77,Transport,12-06-2025,petrol refill,2025-12-06
77,Dinner at Palace,40.75,Food,12-26-2025,dinner at palace,2025-12-26
78,Mobile recharge,240.04,Utilities,20/12/2025,mobile recharge,2025-12-20
79,Amazon.com*123,88.31,Shopping,16/12/2025,amazoncom123,2025-12-16
80,Netflix subscription,104.02,Entertainment,12-26-2025,netflix subscription,2025-12-26
81,spotify,237.32,Entertainment,12-30-2025,spotify,2025-12-30
82,Elec Bill - Jan,249.34,Utilities,12-30-2025,elec bill jan,2025-12-30
83,amzon prime sub,451.92,Shopping,13/01/2026,amazon prime sub,2026-01-13
84,amzn  mktp,177.85,Shopping,12/12/2025,amazon mktp,2025-12-12
85,Gym membership,401.64,Health,03/01/2026,gym membership,2026-01-03
86,Hospital bill,146.6,Health,11/12/2025,hospital bill,2025-12-11
87,Train pass,115.75,Transport,2025-12-13,train pass,2025-12-13
88,WAL-MART #456,184.96,Shopping,12-28-2025,walmart 456,2025-12-28
89,Gym membership,139.78,Health,"Jan 10, 2026",gym membership,2026-01-10
90,Steam games,307.09,Entertainment,24/12/2025,steam games,2025-12-24
91,Target store,130.23,Shopping,25/12/2025,target store,2025-12-25
92,Amzon prime sub,276.59,Shopping,01-04-2026,amazon prime sub,2026-01-04
93,strbucks cofee,6.44,Food,12-02-2025,starbucks coffee,2025-12-02
94,movie night,145.48,Entertainment,12-10-2025,movie night,2025-12-10
95,Walmrt grocceries,285.43,Shopping,"Dec 10, 2025",walmart grocery,2025-12-10
96,NETFLIX.COM,216.9,Entertainment,12-20-2025,netflixcom,2025-12-20
97,Amazon.com*123,280.23,Shopping,01-10-2026,amazoncom123,2026-01-10
98,meds...,354.65,Health,"Jan 02, 2026",meds,2026-01-02
99,WAL-MART #456,190.17,Shopping,2025-12-25,walmart 456,2025-12-25
100,Strbucks cofee,78.05,Food,12-23-2025,starbucks coffee,2025-12-23
101,Train pass,432.86,Transport,2026-01-07,train pass,2026-01-07
102,sttarbucks,187.35,Food,12-14-2025,starbucks,2025-12-14
103,Spotify,74.31,Entertainment,31/12/2025,spotify,2025-12-31
104,amzon prime sub,328.72,Shopping,2026-01-06,amazon prime sub,2026-01-06
105,meds...,227.68,Health,"Dec 16, 2025",meds,2025-12-16
106,Bus ticket,183.99,Transport,"Dec 08, 2025",bus ticket,2025-12-08
107,Train pass,284.62,Transport,14/01/2026,train pass,2026-01-14
108,Mobile recharge,223.42,Utilities,12-11-2025,mobile recharge,2025-12-11
109,Elec Bill - Jan,489.51,Utilities,2025-12-19,elec bill jan,2025-12-19
110,Elec Bill - Jan,212.65,Utilities,01-05-2026,elec bill jan,2026-01-05
111,sttarbucks,387.61,Food,12-14-2025,starbucks,2025-12-14
112,walmrt grocceries,419.36,Shopping,11/01/2026,walmart grocery,2026-01-11
113,Doctor visit,389.41,Health,01-11-2026,doctor visit,2026-01-11
114,UBER   123,445.06,Transport,"Dec 29, 2025",uber 123,2025-12-29
115,Doctor visit,262.74,Health,"Dec 23, 2025",doctor visit,2025-12-23
116,Lunch at MCD,230.42,Food,03/12/2025,lunch at mcd,2025-12-03
117,Hospital bill,446.58,Health,12-05-2025,hospital bill,2025-12-05
118,Target store,350.46,Shopping,01-14-2026,target store,2026-01-14
119,amzn mktp,420.76,Shopping,"Dec 30, 2025",amazon mktp,2025-12-30
120,Elec Bill - Jan,462.6,Utilities,04/01/2026,elec bill jan,2026-01-04
121,Doctor visit,427.86,Health,12-26-2025,doctor visit,2025-12-26
122,Bus  ticket,171.76,Transport,12-21-2025,bus ticket,2025-12-21
123,Subway sandwich,96.49,Food,"Jan 02, 2026",subway sandwich,2026-01-02
124,Uber ridee,271.96,Transport,2026-01-10,uber ridee,2026-01-10
125,spotify,252.02,Entertainment,12-11-2025,spotify,2025-12-11
126,groceries,434.78,Food,2025-12-03,groceries,2025-12-03
127,Water bill,92.88,Utilities,"Dec 24, 2025",water bill,2025-12-24
128,NETFLIX.COM,49.57,Entertainment,2025-12-14,netflixcom,2025-12-14
129,amazon.com*123,126.32,Shopping,01-04-2026,amazoncom123,2026-01-04
130,Amzon prime sub,328.96,Shopping,2025-12-18,amazon prime sub,2025-12-18
131,Electcity bill,63.1,Utilities,2025-12-18,electricity bill,2025-12-18
132,meds...,41.09,Health,13/01/2026,meds,2026-01-13
133,Target store,397.94,Shopping,"Dec 27, 2025",target store,2025-12-27
134,water bill,433.4,Utilities,15/01/2026,water bill,2026-01-15
135,Groceries,480.77,Food,2025-12-05,groceries,2025-12-05
136,movie night,266.9,Entertainment,03/01/2026,movie night,2026-01-03
137,Water bill,451.24,Utilities,2025-12-03,water bill,2025-12-03
138,Amzon prime sub,15.74,Shopping,01-04-2026,amazon prime sub,2026-01-04
139,movie  night,34.35,Entertainment,28/12/2025,movie night,2025-12-28
140,Mobile recharge,485.35,Utilities,"Dec 05, 2025",mobile recharge,2025-12-05
141,Subway sandwich,302.39,Food,2025-12-06,subway sandwich,2025-12-06
142,movie night,96.91,Entertainment,"Dec 09, 2025",movie night,2025-12-09
143,Strbucks cofee,356.81,Food,16/12/2025,starbucks coffee,2025-12-16
144,meds...,308.61,Health,17/12/2025,meds,2025-12-17
145,Internet Comcast,378.41,Utilities,"Dec 29, 2025",internet comcast,2025-12-29
146,spotify,263.42,Entertainment,2025-12-28,spotify,2025-12-28
147,Doctor visit,320.89,Health,"Dec 06, 2025",doctor visit,2025-12-06
148,Amzon  prime  sub,388.91,Shopping,20/12/2025,amazon prime sub,2025-12-20
149,Uber ridee,420.2,Transport,12-17-2025,uber ridee,2025-12-17
150,pharmacy - cvs,478.75,Health,2025-12-18,pharmacy cvs,2025-12-18
151,Uber ridee,407.74,Transport,21/12/2025,uber ridee,2025-12-21
152,WAL-MART #456,336.04,Shopping,12-08-2025,walmart 456,2025-12-08
153,elec bill - jan,325.85,Utilities,29/12/2025,elec bill jan,2025-12-29
154,Amzon prime sub,26.76,Shopping,"Dec 27, 2025",amazon prime sub,2025-12-27
155,pharmacy - CVS,248.94,Health,"Dec 22, 2025",pharmacy cvs,2025-12-22
156,Steam games,123.28,Entertainment,12-24-2025,steam games,2025-12-24
157,Uber  ridee,13.89,Transport,"Dec 29, 2025",uber ridee,2025-12-29
158,uberrr,207.8,Transport,09/12/2025,uberrr,2025-12-09
159,Internet Comcast,79.37,Utilities,12-03-2025,internet comcast,2025-12-03
160,Cinema tickets,453.42,Entertainment,15/12/2025,cinema tickets,2025-12-15
161,Steam games,185.31,Entertainment,2025-12-12,steam games,2025-12-12
162,subway sandwich,104.34,Food,12-16-2025,subway sandwich,2025-12-16
163,subway sandwich,262.76,Food,15/12/2025,subway sandwich,2025-12-15
164,meds...,90.59,Health,"Dec 09, 2025",meds,2025-12-09
165,NETFLIX.COM,263.39,Entertainment,15/12/2025,netflixcom,2025-12-15
166,Electcity bill,408.41,Utilities,12-10-2025,electricity bill,2025-12-10
167,Uber ridee,111.85,Transport,2026-01-14,uber ridee,2026-01-14
168,Groceries,91.05,Food,15/12/2025,groceries,2025-12-15
169,WAL-MART #456,23.06,Shopping,12-22-2025,walmart 456,2025-12-22
170,wal-mart #456,126.13,Shopping,"Dec 22, 2025",walmart 456,2025-12-22
171,WAL-MART #456,13.63,Shopping,01-05-2026,walmart 456,2026-01-05
172,Groceries,422.58,Food,2026-01-05,groceries,2026-01-05
173,groceries,150.91,Food,2026-01-14,groceries,2026-01-14
174,dinner at palace,465.82,Food,"Dec 27, 2025",dinner at palace,2025-12-27
175,lunch at mcd,47.72,Food,2026-01-01,lunch at mcd,2026-01-01
176,netflix.com,202.51,Entertainment,"Dec 17, 2025",netflixcom,2025-12-17
177,uber ridee,47.8,Transport,"Dec 10, 2025",uber ridee,2025-12-10
178,pharmacy - CVS,467.21,Health,01-09-2026,pharmacy cvs,2026-01-09
179,Spotify,354.17,Entertainment,2026-01-06,spotify,2026-01-06
180,Netflix subscription,123.43,Entertainment,"Jan 06, 2026",netflix subscription,2026-01-06
181,Water bill,366.04,Utilities,"Dec 24, 2025",water bill,2025-12-24
182,Coffee!!,6.0,Food,2025-12-22,coffee,2025-12-22
183,target store,262.73,Shopping,02/12/2025,target store,2025-12-02
184,Uber ridee,50.81,Transport,14/12/2025,uber ridee,2025-12-14
185,Hospital bill,91.54,Health,12-30-2025,hospital bill,2025-12-30
186,Hospital  bill,368.05,Health,03/01/2026,hospital bill,2026-01-03
187,amzn mktp,176.19,Shopping,2025-12-28,amazon mktp,2025-12-28
188,bill for power,367.22,Utilities,12-12-2025,bill for power,2025-12-12
189,Lunch at MCD,24.27,Food,2025-12-09,lunch at mcd,2025-12-09
190,Dinner at Palace,412.85,Food,12-27-2025,dinner at palace,2025-12-27
191,pharmacy - CVS,441.59,Health,12-09-2025,pharmacy cvs,2025-12-09
192,Strbucks cofee,246.12,Food,"Dec 20, 2025",starbucks coffee,2025-12-20
193,Amzon prime sub,478.15,Shopping,2025-12-04,amazon prime sub,2025-12-04
194,Water  bill,249.52,Utilities,2025-12-05,water bill,2025-12-05
195,Netflix subscription,167.24,Entertainment,"Dec 08, 2025",netflix subscription,2025-12-08
196,bill for power,220.35,Utilities,2025-12-08,bill for power,2025-12-08
197,Amzon prime sub,389.49,Shopping,12-08-2025,amazon prime sub,2025-12-08
198,Water bill,479.93,Utilities,11/01/2026,water bill,2026-01-11
199,Groceries,481.93,Food,2025-12-08,groceries,2025-12-08
200,Spotify,275.44,Entertainment,12-24-2025,spotify,2025-12-24
201,Bus ticket,455.33,Transport,2026-01-07,bus ticket,2026-01-07
202,Spotify,419.13,Entertainment,01-06-2026,spotify,2026-01-06
203,Subway sandwich,345.67,Food,2025-12-10,subway sandwich,2025-12-10
204,Lunch at MCD,434.57,Food,2026-01-01,lunch at mcd,2026-01-01
205,movie night,255.93,Entertainment,2025-12-28,movie night,2025-12-28
206,Dinner at Palace,380.22,Food,30/12/2025,dinner at palace,2025-12-30
207,WAL-MART #456,88.92,Shopping,17/12/2025,walmart 456,2025-12-17
208,UBER   123,172.96,Transport,2025-12-31,uber 123,2025-12-31
209,bill for power,306.27,Utilities,12-16-2025,bill for power,2025-12-16
210,Doctor visit,33.53,Health,2026-01-03,doctor visit,2026-01-03
211,Dinner at Palace,128.73,Food,2025-12-06,dinner at palace,2025-12-06
212,cinema tickets,409.14,Entertainment,01-04-2026,cinema tickets,2026-01-04
213,meds...,439.9,Health,2025-12-14,meds,2025-12-14
214,amzn mktp,447.68,Shopping,2025-12-03,amazon mktp,2025-12-03
215,Water bill,288.11,Utilities,12-05-2025,water bill,2025-12-05
216,Water bill,125.72,Utilities,13/12/2025,water bill,2025-12-13
217,Petrol refill,97.19,Transport,2025-12-11,petrol refill,2025-12-11
218,hospital bill,393.03,Health,2025-12-01,hospital bill,2025-12-01
219,elec bill - jan,486.68,Utilities,01-01-2026,elec bill jan,2026-01-01
220,Walmrt grocceries,412.78,Shopping,"Dec 28, 2025",walmart grocery,2025-12-28
221,NETFLIX.COM,276.49,Entertainment,2025-12-12,netflixcom,2025-12-12
222,amzn mktp,306.17,Shopping,01-09-2026,amazon mktp,2026-01-09
223,Petrol refill,309.75,Transport,14/01/2026,petrol refill,2026-01-14
224,movie night,269.29,Entertainment,25/12/2025,movie night,2025-12-25
225,Pfizer  meds,377.37,Health,12/01/2026,pfizer meds,2026-01-12
226,amzn mktp,9.64,Shopping,02/01/2026,amazon mktp,2026-01-02
227,Gas station,271.86,Transport,"Dec 24, 2025",gas station,2025-12-24
228,Gas station,133.75,Transport,"Jan 04, 2026",gas station,2026-01-04
229,Amzon prime sub,379.41,Shopping,2025-12-19,amazon prime sub,2025-12-19
230,Elec Bill - Jan,180.79,Utilities,2025-12-26,elec bill jan,2025-12-26
231,Dinner at Palace,76.12,Food,2026-01-09,dinner at palace,2026-01-09
232,uberrr,286.45,Transport,"Dec 02, 2025",uberrr,2025-12-02
233,lunch at mcd,470.24,Food,2025-12-01,lunch at mcd,2025-12-01
234,Netflix  subscription,125.55,Entertainment,"Jan 03, 2026",netflix subscription,2026-01-03
235,Spotify,126.61,Entertainment,"Jan 15, 2026",spotify,2026-01-15
236,amzn mktp,118.37,Shopping,2025-12-17,amazon mktp,2025-12-17
237,Gas station,59.68,Transport,04/01/2026,gas station,2026-01-04
238,Lunch at MCD,418.06,Food,12-22-2025,lunch at mcd,2025-12-22
239,spotify,194.28,Entertainment,06/01/2026,spotify,2026-01-06
240,Pfizer meds,301.26,Health,"Jan 09, 2026",pfizer meds,2026-01-09
241,Walmrt grocceries,151.01,Shopping,2025-12-18,walmart grocery,2025-12-18
242,uberrr,316.12,Transport,14/01/2026,uberrr,2026-01-14
243,Doctor visit,17.49,Health,"Dec 31, 2025",doctor visit,2025-12-31
244,dinner at palace,355.95,Food,2025-12-27,dinner at palace,2025-12-27
245,Hospital bill,233.07,Health,08/12/2025,hospital bill,2025-12-08
246,dinner at palace,291.75,Food,01-03-2026,dinner at palace,2026-01-03
247,target  store,118.37,Shopping,"Jan 04, 2026",target store,2026-01-04
248,Elec  Bill  -  Jan,258.22,Utilities,"Dec 23, 2025",elec bill jan,2025-12-23
249,Internet Comcast,89.9,Utilities,12-25-2025,internet comcast,2025-12-25
250,NETFLIX.COM,120.98,Entertainment,12-24-2025,netflixcom,2025-12-24
251,Pfizer meds,166.84,Health,17/12/2025,pfizer meds,2025-12-17
252,bill for power,21.81,Utilities,"Jan 11, 2026",bill for power,2026-01-11
253,Internet Comcast,369.94,Utilities,12-22-2025,internet comcast,2025-12-22
254,NETFLIX.COM,397.24,Entertainment,"Dec 24, 2025",netflixcom,2025-12-24
255,Electcity bill,152.36,Utilities,12-24-2025,electricity bill,2025-12-24
256,UBER   123,251.51,Transport,2025-12-12,uber 123,2025-12-12
257,Train pass,312.19,Transport,2025-12-06,train pass,2025-12-06
258,Dinner at Palace,50.11,Food,01-10-2026,dinner at palace,2026-01-10
259,netflix.com,115.73,Entertainment,"Jan 04, 2026",netflixcom,2026-01-04
260,doctor visit,215.34,Health,"Dec 17, 2025",doctor visit,2025-12-17
261,Steam games,489.19,Entertainment,"Jan 11, 2026",steam games,2026-01-11
262,Internet Comcast,347.35,Utilities,2025-12-12,internet comcast,2025-12-12
263,bill for power,28.86,Utilities,2026-01-03,bill for power,2026-01-03
264,Lunch at MCD,455.24,Food,2025-12-22,lunch at mcd,2025-12-22
265,Water bill,158.16,Utilities,2025-12-11,water bill,2025-12-11
266,pharmacy - CVS,139.79,Health,2026-01-07,pharmacy cvs,2026-01-07
267,Spotify,463.22,Entertainment,2026-01-05,spotify,2026-01-05
268,Spotify,314.13,Entertainment,"Jan 12, 2026",spotify,2026-01-12
269,groceries,267.48,Food,"Jan 08, 2026",groceries,2026-01-08
270,spotify,169.65,Entertainment,28/12/2025,spotify,2025-12-28
271,Mobile recharge,6.82,Utilities,"Jan 06, 2026",mobile recharge,2026-01-06
272,NETFLIX.COM,53.77,Entertainment,"Dec 24, 2025",netflixcom,2025-12-24
273,movie night,277.91,Entertainment,"Dec 23, 2025",movie night,2025-12-23
274,Target store,170.13,Shopping,15/12/2025,target store,2025-12-15
275,uber ridee,291.4,Transport,"Dec 04, 2025",uber ridee,2025-12-04
276,Subway sandwich,275.16,Food,2025-12-06,subway sandwich,2025-12-06
277,gas station,317.21,Transport,2025-12-19,gas station,2025-12-19
278,Walmrt grocceries,479.51,Shopping,"Jan 13, 2026",walmart grocery,2026-01-13
279,movie  night,444.65,Entertainment,"Jan 05, 2026",movie night,2026-01-05
280,Strbucks cofee,182.21,Food,06/01/2026,starbucks coffee,2026-01-06
281,pharmacy - CVS,174.63,Health,04/01/2026,pharmacy cvs,2026-01-04
282,meds...,168.64,Health,12-07-2025,meds,2025-12-07
283,netflix subscription,433.91,Entertainment,24/12/2025,netflix subscription,2025-12-24
284,Steam games,23.96,Entertainment,"Jan 04, 2026",steam games,2026-01-04
285,internet comcast,333.81,Utilities,12-17-2025,internet comcast,2025-12-17
286,spotify,486.37,Entertainment,01-12-2026,spotify,2026-01-12
287,NETFLIX.COM,203.34,Entertainment,12/12/2025,netflixcom,2025-12-12
288,Bus ticket,146.69,Transport,02/12/2025,bus ticket,2025-12-02
289,Pfizer meds,271.79,Health,12-25-2025,pfizer meds,2025-12-25
290,Amazon.com*123,255.93,Shopping,"Dec 02, 2025",amazoncom123,2025-12-02
291,subway sandwich,412.66,Food,15/12/2025,subway sandwich,2025-12-15
292,bus ticket,287.82,Transport,06/12/2025,bus ticket,2025-12-06
293,amzn mktp,199.07,Shopping,12-29-2025,amazon mktp,2025-12-29
294,Groceries,257.3,Food,16/12/2025,groceries,2025-12-16
295,Amzon  prime  sub,269.65,Shopping,"Dec 20, 2025",amazon prime sub,2025-12-20
296,Amazon.com*123,209.29,Shopping,2025-12-21,amazoncom123,2025-12-21
297,Spotify,44.93,Entertainment,"Dec 12, 2025",spotify,2025-12-12
298,Internet Comcast,185.01,Utilities,"Jan 05, 2026",internet comcast,2026-01-05
299,uberrr,192.74,Transport,"Dec 16, 2025",uberrr,2025-12-16
300,Internet  Comcast,155.2,Utilities,2025-12-16,internet comcast,2025-12-16
301,Water bill,462.62,Utilities,01-12-2026,water bill,2026-01-12
302,uberrr,369.2,Transport,12-12-2025,uberrr,2025-12-12
303,amzn mktp,367.55,Shopping,2025-12-01,amazon mktp,2025-12-01
304,sttarbucks,314.91,Food,2025-12-19,starbucks,2025-12-19
305,amzon prime sub,192.51,Shopping,2025-12-21,amazon prime sub,2025-12-21
306,amazon.com*123,231.23,Shopping,18/12/2025,amazoncom123,2025-12-18
307,Water bill,407.64,Utilities,01/01/2026,water bill,2026-01-01
308,Water bill,260.66,Utilities,2025-12-28,water bill,2025-12-28
309,Elec  Bill  -  Jan,54.35,Utilities,2026-01-13,elec bill jan,2026-01-13
310,gas station,273.11,Transport,"Dec 07, 2025",gas station,2025-12-07
311,pharmacy - CVS,106.71,Health,2026-01-08,pharmacy cvs,2026-01-08
312,meds...,416.97,Health,01-05-2026,meds,2026-01-05
313,NETFLIX.COM,447.62,Entertainment,"Dec 07, 2025",netflixcom,2025-12-07
314,steam games,461.65,Entertainment,10/01/2026,steam games,2026-01-10
315,Internet  Comcast,423.9,Utilities,2026-01-05,internet comcast,2026-01-05
316,amzn mktp,444.85,Shopping,26/12/2025,amazon mktp,2025-12-26
317,meds...,435.08,Health,"Dec 10, 2025",meds,2025-12-10
318,Internet Comcast,395.77,Utilities,2025-12-22,internet comcast,2025-12-22
319,water bill,180.42,Utilities,09/01/2026,water bill,2026-01-09
320,Hospital bill,7.0,Health,2026-01-10,hospital bill,2026-01-10
321,cinema  tickets,426.19,Entertainment,12-07-2025,cinema tickets,2025-12-07
322,UBER   123,129.55,Transport,"Dec 26, 2025",uber 123,2025-12-26
323,meds...,360.29,Health,"Jan 06, 2026",meds,2026-01-06
324,Doctor visit,258.66,Health,05/12/2025,doctor visit,2025-12-05
325,Gas station,120.21,Transport,01/01/2026,gas station,2026-01-01
326,pharmacy - CVS,467.77,Health,12-16-2025,pharmacy cvs,2025-12-16
327,Pfizer meds,126.51,Health,"Jan 03, 2026",pfizer meds,2026-01-03
328,WAL-MART #456,177.75,Shopping,12-11-2025,walmart 456,2025-12-11
329,pharmacy - CVS,331.27,Health,"Jan 14, 2026",pharmacy cvs,2026-01-14
330,Mobile recharge,330.75,Utilities,"Dec 18, 2025",mobile recharge,2025-12-18
331,amzn mktp,490.81,Shopping,2025-12-19,amazon mktp,2025-12-19
332,sttarbucks,314.01,Food,2026-01-02,starbucks,2026-01-02
333,meds...,473.05,Health,"Jan 05, 2026",meds,2026-01-05
334,Netflix subscription,230.06,Entertainment,2025-12-18,netflix subscription,2025-12-18
335,netflix.com,285.81,Entertainment,12-10-2025,netflixcom,2025-12-10
336,netflix.com,278.45,Entertainment,2026-01-01,netflixcom,2026-01-01
337,amzn mktp,472.32,Shopping,01-11-2026,amazon mktp,2026-01-11
338,Lunch at MCD,85.24,Food,12-15-2025,lunch at mcd,2025-12-15
339,Target  store,264.86,Shopping,11/12/2025,target store,2025-12-11
340,Train pass,477.36,Transport,09/01/2026,train pass,2026-01-09
341,Lunch at MCD,72.97,Food,12-17-2025,lunch at mcd,2025-12-17
342,Amazon.com*123,494.52,Shopping,08/12/2025,amazoncom123,2025-12-08
343,Hospital bill,278.7,Health,12-31-2025,hospital bill,2025-12-31
344,Strbucks cofee,83.79,Food,2025-12-25,starbucks coffee,2025-12-25
345,Cinema tickets,168.31,Entertainment,"Jan 06, 2026",cinema tickets,2026-01-06
346,Electcity bill,79.3,Utilities,2025-12-08,electricity bill,2025-12-08
347,bill  for  power,144.71,Utilities,12-23-2025,bill for power,2025-12-23
348,Dinner at Palace,453.62,Food,2025-12-10,dinner at palace,2025-12-10
349,Gas  station,464.55,Transport,"Dec 17, 2025",gas station,2025-12-17
350,Coffee!!,476.93,Food,2025-12-26,coffee,2025-12-26
351,Strbucks cofee,463.19,Food,01/01/2026,starbucks coffee,2026-01-01
352,Amzon prime sub,23.03,Shopping,"Dec 24, 2025",amazon prime sub,2025-12-24
353,Cinema tickets,239.68,Entertainment,12-26-2025,cinema tickets,2025-12-26
354,NETFLIX.COM,442.34,Entertainment,"Jan 15, 2026",netflixcom,2026-01-15
355,Dinner  at  Palace,411.54,Food,"Jan 13, 2026",dinner at palace,2026-01-13
356,WAL-MART #456,191.07,Shopping,10/12/2025,walmart 456,2025-12-10
357,movie night,232.89,Entertainment,01-02-2026,movie night,2026-01-02
358,Target  store,266.67,Shopping,01-13-2026,target store,2026-01-13
359,Internet Comcast,43.49,Utilities,12-15-2025,internet comcast,2025-12-15
360,Steam games,368.97,Entertainment,01-12-2026,steam games,2026-01-12
361,Gas station,106.46,Transport,2026-01-03,gas station,2026-01-03
362,Steam games,212.12,Entertainment,23/12/2025,steam games,2025-12-23
363,Water bill,141.43,Utilities,2026-01-04,water bill,2026-01-04
364,Amzon prime sub,209.31,Shopping,"Dec 06, 2025",amazon prime sub,2025-12-06
